kegg_id	pathway_name	gene_id
04659	Th17 cell differentiation	il6st(2of7)
04659	Th17 cell differentiation	il6st(3of7)
04659	Th17 cell differentiation	il6st(4of7)
04659	Th17 cell differentiation	il6st(5of7)
04659	Th17 cell differentiation	il6st(6of7)
04659	Th17 cell differentiation	il6st(7of7)
04659	Th17 cell differentiation	plcg1(1of2)
04659	Th17 cell differentiation	plcg1(2of2)
04659	Th17 cell differentiation	ppp3r1
04659	Th17 cell differentiation	il2rb
04659	Th17 cell differentiation	il1rap(1of3)
04659	Th17 cell differentiation	il1rap(2of3)
04659	Th17 cell differentiation	il1rap(3of3)
04659	Th17 cell differentiation	mapk13
04659	Th17 cell differentiation	lck(1of2)
04659	Th17 cell differentiation	il2rg
04659	Th17 cell differentiation	jund(1of2)
04659	Th17 cell differentiation	jun(1of2)
04659	Th17 cell differentiation	jun(2of2)
04659	Th17 cell differentiation	mapk10
04659	Th17 cell differentiation	hsp90aa1(1of3)
04659	Th17 cell differentiation	hsp90aa1(2of3)
04659	Th17 cell differentiation	hsp90aa1(3of3)
04659	Th17 cell differentiation	nfkbie
04659	Th17 cell differentiation	rxrg
04659	Th17 cell differentiation	runx2(1of2)
04659	Th17 cell differentiation	runx1
04659	Th17 cell differentiation	cd3d
04659	Th17 cell differentiation	nfkbia(1of2)
04659	Th17 cell differentiation	nfkbia(2of2)
04659	Th17 cell differentiation	irf4(1of3)
04659	Th17 cell differentiation	irf4(2of3)
04659	Th17 cell differentiation	irf4(3of3)
04659	Th17 cell differentiation	smad3(1of2)
04659	Th17 cell differentiation	smad3(2of2)
04659	Th17 cell differentiation	ikbkg
04659	Th17 cell differentiation	il17f(1of3)
04659	Th17 cell differentiation	il17f(3of3)
04659	Th17 cell differentiation	hla-dpa1(1of2)
04659	Th17 cell differentiation	hla-dpa1(2of2)
04659	Th17 cell differentiation	mapk9
04659	Th17 cell differentiation	cd3e
04659	Th17 cell differentiation	stat1(1of4)
04659	Th17 cell differentiation	stat1(2of4)
04659	Th17 cell differentiation	stat1(3of4)
04659	Th17 cell differentiation	stat1(4of4)
04659	Th17 cell differentiation	smad2(1of2)
04659	Th17 cell differentiation	smad2(2of2)
04659	Th17 cell differentiation	tyk2
04659	Th17 cell differentiation	prkcq
04659	Th17 cell differentiation	tgfb1
04659	Th17 cell differentiation	mapk8(1of2)
04659	Th17 cell differentiation	mapk8(2of2)
04659	Th17 cell differentiation	ikbkb
04659	Th17 cell differentiation	rxra(1of3)
04659	Th17 cell differentiation	rxra(2of3)
04659	Th17 cell differentiation	rxra(3of3)
04659	Th17 cell differentiation	hif1a
04659	Th17 cell differentiation	hif3a
04659	Th17 cell differentiation	il17a
04659	Th17 cell differentiation	jak2(1of3)
04659	Th17 cell differentiation	jak2(2of3)
