kegg_id	gene_id
04510	lamb3(2of2)
04510	xiap
04510	birc3
04510	parvb
04510	pak1
04510	itgb5
04510	vtn(1of2)
04510	vtn(2of2)
04510	tnr
04510	thbs1(1of2)
04510	thbs1(2of2)
04510	ppp1cb(1of2)
04510	ppp1cb(2of2)
04510	itga7
04510	pik3ca(1of3)
04510	pik3ca(2of3)
04510	pik3ca(3of3)
04510	ccnd2(1of4)
04510	ccnd2(2of4)
04510	ccnd2(3of4)
04510	ccnd2(4of4)
04510	tln2(1of2)
04510	tln2(2of2)
04510	rac2(1of6)
04510	rac2(2of6)
04510	rac2(3of6)
04510	rac2(4of6)
04510	rac2(5of6)
04510	rac2(6of6)
04510	ppp1ca
04510	shc1(1of2)
04510	col1a2(1of4)
04510	col1a2(3of4)
04510	arhgap5
04510	myl7
04510	flt4
04510	rap1b(1of3)
04510	rap1b(2of3)
04510	rap1b(3of3)
04510	ctnnb1(1of2)
04510	ctnnb1(2of2)
04510	lama2(1of3)
04510	lama2(3of3)
04510	rhoa(1of5)
04510	rhoa(2of5)
04510	rhoa(3of5)
04510	rhoa(4of5)
04510	rhoa(5of5)
04510	flt1(1of2)
04510	flt1(2of2)
04510	vwf
04510	pak6(1of2)
04510	elk1
04510	pak3
04510	arhgap35(1of2)
04510	arhgap35(2of2)
04510	pten(1of2)
04510	pten(2of2)
04510	col6a1(1of2)
04510	col6a1(2of2)
04510	col6a3(1of3)
04510	col6a3(2of3)
04510	col6a3(3of3)
04510	itgb1(1of3)
04510	itgb1(2of3)
04510	itgb1(3of3)
04510	erbb2
04510	actn4
04510	pak4
04510	pak6(2of2)
04510	myl12a(1of2)
04510	myl12a(2of2)
04510	col6a4(2of2)
04510	col13a1(1of2)
04510	jund(1of2)
04510	jun(1of2)
04510	jun(2of2)
04510	sos1
04510	diaph3(1of4)
04510	pdgfa(1of2)
04510	pdgfa(2of2)
04510	fyn(1of3)
04510	fyn(2of3)
04510	fyn(3of3)
04510	igf1(1of2)
04510	igf1(2of2)
04510	lamc2
04510	fn1(1of3)
04510	fn1(2of3)
04510	fn1(3of3)
04510	myl9
04510	itga1
04510	pik3r2
04510	crk(1of2)
04510	crk(2of2)
04510	pxn(1of3)
04510	pxn(3of3)
04510	cav1
04510	dock1
04510	bcar1
04510	col1a1(1of2)
04510	col1a1(2of2)
04510	itgb6
04510	itga3(1of2)
04510	itga3(2of2)
04510	pdgfra
04510	akt3(1of2)
04510	akt3(2of2)
04510	ppp1cc(1of2)
04510	ppp1cc(2of2)
04510	flnc(1of2)
04510	flnc(2of2)
04510	col4a1(1of5)
04510	col4a1(2of5)
04510	col4a1(4of5)
04510	col9a3(2of2)
04510	col4a2
04510	col4a6(1of5)
04510	col4a6(2of5)
04510	col4a6(3of5)
04510	col4a6(4of5)
04510	col4a6(5of5)
04510	mapk8(1of2)
04510	mapk8(2of2)
04510	pik3cd
04510	igf1r(1of2)
04510	igf1r(2of2)
04510	parvg
04510	itga9
04510	rac1
04510	itgav
04510	mylk(1of3)
04510	mylk(2of3)
04510	mylk(3of3)
04510	cd274(1of2)
04510	actg1(1of2)
04510	actg1(2of2)
04510	col6a6(1of2)
04510	col6a6(2of2)
04510	vegfc(1of2)
04510	vegfc(2of2)
04510	mylk4(1of2)
04510	mylk4(2of2)
04510	cdc42(1of4)
04510	cdc42(2of4)
04510	cdc42(3of4)
04510	cdc42(4of4)
04510	vav2
04510	shc3
04510	itgb8
04510	egfr(1of2)
04510	egfr(2of2)
04510	cav3
04510	col4a1(3of5)
04510	col4a1(5of5)
04510	col4a4
04510	pdpk1
04510	col9a2
04510	grb2
04510	mapk3
04510	itga11(1of3)
04510	itga11(2of3)
04510	itga11(3of3)
04510	ilk(1of2)
04510	ilk(2of2)
04510	akt1
04510	shc1(2of2)
04510	rasgrf1(1of4)
04510	rasgrf1(2of4)
04510	itga2
04510	lama5
04510	thbs3
04510	itgb4
04510	pik3r1(1of2)
04510	pik3r1(2of2)
04510	thbs4(1of3)
04510	thbs4(2of3)
04510	thbs4(3of3)
04510	flna
04510	rock2(1of4)
04510	rock2(4of4)
00563	pign
00563	pigf
00563	dpm2
00563	pgap1
00563	pigl
00563	pigu
00563	pigk
00563	pigv
00563	pigx
00563	pigg
00563	pigw
00563	pigm
00563	pigh
00563	pigt
00563	pigo
00563	pigs
00563	piga
00563	gpaa1
00563	pigp
00563	pigq
00563	pigb
00563	pigc
05142	tgfbr2(1of3)
05142	tgfbr2(2of3)
05142	tgfbr2(3of3)
05142	mapk1
05142	ccl3
05142	pik3ca(1of3)
05142	pik3ca(2of3)
05142	pik3ca(3of3)
05142	adcy1(1of2)
05142	adcy1(2of2)
05142	plcb3
05142	plcb1(1of2)
05142	plcb1(2of2)
05142	tnfrsf1a(2of2)
05142	pik3cb(1of2)
