id,b_D3d,b_D6d,b_D1m,b_NonD,GO
alkbh1,NonDE,NonDE,NonDE,NonDE,.
alkbh2,DN,NonDE,NonDE,NonDE,.
alkbh3,DN,DN,DN,NonDE,.
alkbh4,NonDE,NonDE,NonDE,NonDE,.
alkbh5,NonDE,NonDE,NonDE,NonDE,.
alkbh6,NonDE,NonDE,NonDE,NonDE,.
alkbh7,NonDE,NonDE,NonDE,NonDE,.
alkbh8,NonDE,NonDE,UP,NonDE,.
allc,UP,UP,UP,UP,.
alms1(3of3),NonDE,NonDE,NonDE,NonDE,.
alox12b,UP,NonDE,NonDE,NonDE,.
alox15b,UP,NonDE,NonDE,UP,.
alox5(1of2),NonDE,NonDE,NonDE,UP,.
alox5(2of2),UP,UP,UP,NonDE,.
aloxe3(1of2),NonDE,UP,UP,NonDE,.
aloxe3(2of2),UP,UP,NonDE,UP,.
alpk1,NonDE,NonDE,NonDE,NonDE,.
alpk2,NonDE,NonDE,DN,NonDE,.
alpk3(1of2),NonDE,NonDE,NonDE,NonDE,.
alpk3(2of2),NonDE,NonDE,NonDE,NonDE,.
alpl,NonDE,DN,DN,NonDE,.
als2(1of2),DN,DN,DN,NonDE,.
als2(2of2),UP,UP,UP,NonDE,.
alx1,NonDE,DN,DN,NonDE,.
alx3,NonDE,NonDE,NonDE,NonDE,.
alx4(1of2),NonDE,NonDE,NonDE,NonDE,.
alx4(2of2),UP,UP,NonDE,UP,.
