Condition,FDR,DE,,,,,,
D3d,0.746304064,0.048551554,,,,,,
D3d,0.560478003,0.339124678,,,,,,
D3d,0.472434843,-0.999858755,,,,,,
D3d,1.19E-21,1.737318606,,,,,,
D3d,0.11649595,-0.329466431,,,,,,
D3d,0.936122897,-0.039372163,,,,,,
D3d,1.02E-07,-1.338985247,,,,,,
D3d,0.020972082,-2.244158549,,,,,,
D3d,0.881012447,-0.10678067,,,,,,
D3d,0.003658022,1.027562377,,,,,,
D3d,0.00230408,-0.891438709,,,,,,
D3d,8.04E-07,1.807905768,,,,,,
D3d,6.68E-05,-0.857509542,,,,,,
D3d,0.009088721,-0.494094873,,,,,,
D3d,0.159679773,-0.263870884,,,,,,
D3d,1.15E-90,2.896788334,,,,,,
D3d,0.863247355,-0.045633308,,,,,,
D3d,0.701151703,-0.448534959,,,,,,
D3d,8.04E-08,0.679555741,,,,,,
D3d,8.79E-31,1.625992693,,,,,,
D3d,1.20E-15,1.313971386,,,,,,
D3d,0.080140172,0.426954538,,,,,,
D3d,0.000840017,0.576338939,,,,,,
D3d,5.82E-09,-0.714310163,,,,,,
D3d,6.61E-25,1.551499981,,,,,,
D3d,0.015504386,0.762048525,,,,,,
D3d,0.07676855,0.42787226,,,,,,
D3d,0.474192669,0.103324126,,,,,,
D3d,0.098060536,0.366847337,,,,,,
D3d,0.001251774,-0.740575057,,,,,,
D3d,0.003890498,-0.5706729,,,,,,
D3d,1.15E-05,0.607390108,,,,,,
D3d,3.42E-19,-1.087898323,,,,,,
D3d,0.356080424,-0.145487314,,,,,,
D3d,5.29E-09,-0.986386442,,,,,,
D3d,1.41E-06,-1.940667993,,,,,,
D3d,4.10E-08,-1.853203319,,,,,,
D3d,0.974369396,-0.014065108,,,,,,
D3d,0.197649976,-0.273506807,,,,,,
D3d,3.12E-35,-2.654143184,,,,,,
D3d,2.99E-05,0.523478138,,,,,,
D3d,1.51E-34,1.450638898,,,,,,
D3d,0.788715547,-0.052372289,,,,,,
D3d,4.45E-21,-2.697664725,,,,,,
D3d,6.09E-15,-1.571822646,,,,,,
D3d,2.40E-09,-1.154446877,,,,,,
D3d,1.64E-24,2.180666407,,,,,,
D3d,9.47E-05,1.122363623,,,,,,
D3d,0.173020751,-1.63151693,,,,,,
D3d,0.360981132,-0.130931957,,,,,,
D3d,0.098669643,-0.278477493,,,,,,
D3d,5.10E-10,0.785900071,,,,,,
