id,PreD_Lib1,PreD_Lib2,PreD_Lib3,D3d_Lib11,D3d_Lib12,D3d_Lib24,D6d_Lib14,D6d_Lib15,D6d_Lib16,D1m_Lib18,D1m_Lib19,D1m_Lib26,D4m_Lib20,NonD_Lib21,NonD_Lib22,NonD_Lib23
rdm1,3.716895207,3.196310656,3.031991981,0.047902157,0.224754913,0.050462259,0.08573378,0.05836661,0.286478538,0,0,0.347066252,3.051947617,4.500676401,4.640442202,4.243243713
rdx(1of2),47.4270871,53.10816535,50.89024407,53.41958971,50.10331832,48.68421351,39.8034619,42.67641709,45.99130986,32.29497011,31.88547887,26.37588016,37.36015971,38.24016232,41.43505171,42.58981319
rdx(2of2),28.32715909,30.32076923,30.51916921,30.83523541,37.84304344,29.40939546,37.08379886,35.78120207,34.23838342,40.0972465,48.21721718,42.77300635,33.2022992,20.20446844,22.56118583,22.74494845
rec8(1of2),4.03550781,2.152275581,3.760442265,0.244032342,0.544819385,0.664160803,0.43783558,0.255714049,1.358010346,0.557507297,0.69042843,0.425122719,0.527797269,0.481472418,0.504858946,0.638411174
reck,5.927209268,5.102028437,5.940352914,6.762454221,7.158934753,5.764052648,6.292662583,5.979500306,5.647873922,5.509153686,4.193941452,4.941018736,3.900888541,4.201977857,4.324864843,4.281695763
recql(1of2),7.862817282,8.19375282,6.891394921,2.342462791,1.440119744,2.779374728,2.441293919,2.229596548,2.299801328,3.227137842,3.497589363,2.694435222,6.23450205,7.922702328,8.138429064,8.376763576
recql(2of2),13.4498354,13.90401273,14.95520464,5.002170126,5.461223051,5.815717397,5.479992317,4.422753086,5.937890737,7.101674365,8.551187327,8.561930613,11.99702799,11.87626392,12.80019256,12.45517533
recql4,14.9987911,13.76054983,10.29990024,0.589801,1.112573593,1.064856541,1.460118078,1.167186487,1.415580316,0.866121743,0.744794727,0.871251964,8.377411254,13.95812324,14.55487852,14.27746433
recql5,15.1313702,14.44151179,12.34993676,10.87023765,12.2937235,10.15437657,12.60991723,12.17926122,11.91089292,15.10782647,13.94593487,14.55213849,12.24150902,13.34051351,13.64966802,12.3522149
reep1,0.234451009,0.321622562,0.471101281,0.374093678,0.43838094,0.429509096,0.615683594,0.419618997,0.303772624,0.142612892,0.13741145,0.190610118,0.7572794,0.568973942,0.470412924,0.483638866
reep2,8.818284787,8.42754022,8.297091659,2.272838445,2.73972536,3.611490783,3.555167255,3.21717815,3.844536166,2.783854485,2.431694112,4.402957032,7.707143155,7.145765173,8.409855211,8.402095438
reep3,13.19716311,12.86529585,10.52404895,10.1064356,10.46365918,9.905141327,9.703508312,10.2735455,10.929003,15.73833777,12.57864268,11.67862302,10.16019568,15.1208789,14.44449811,12.77883602
reep5(2of3),2.211444488,1.745095714,1.497504141,0.06575595,0.102948421,0.206486049,0.175940954,0.239274088,0.196070314,0.407837472,0.142860865,0,2.419606382,4.446848505,5.442073877,4.703490625
reep5(3of3),42.72027797,43.72039653,51.36524978,62.76626952,64.19218518,57.44152606,81.0129053,71.34783187,68.60951685,81.26138644,64.75213511,61.15404132,51.80085846,33.87638068,38.50107045,43.19718684
